transaction_id,product_id,seller_id,buyer_id,transaction_date,selling_price,final_price,discount_rate,status,location,payment_method
T000045,P000689,U000222,U000873,2021-05-13 00:00:00,80,70,12.5,已完成,体育馆,微信
T000046,P002157,U001282,U002445,2021-06-30 00:00:00,120,110,8.33,已完成,宿舍楼下,支付宝
T000047,P004555,U001646,U000442,2023-01-27 00:00:00,1000,980,2.0,已取消,快递站,银行卡
T000048,P003777,U000634,U002881,2023-12-07 00:00:00,260,230,11.54,已完成,宿舍楼下,现金
T000049,P004579,U001508,U002059,2022-06-20 00:00:00,130,120,7.69,已完成,体育馆,现金
T000050,P007259,U002292,U002570,2021-12-29 00:00:00,140,140,0.0,已完成,校门口,微信
T000051,P002177,U001945,U002943,2022-12-29 00:00:00,260,250,3.85,已完成,线上交易,现金
T000052,P004862,U001180,U000868,2020-11-26 00:00:00,200,190,5.0,已完成,线上交易,现金
T000053,P004763,U001885,U002964,2022-11-14 00:00:00,380,350,7.89,退款中,线上交易,支付宝
T000054,P007654,U000169,U001767,2024-02-09 00:00:00,90,80,11.11,已完成,食堂,银行卡
T000055,P002121,U002718,U001154,2021-02-21 00:00:00,100,90,10.0,已完成,图书馆门口,微信
T000056,P000977,U000198,U000334,2023-10-08 00:00:00,20,20,0.0,已完成,校门口,支付宝
T000057,P000018,U002291,U002984,2022-01-19 00:00:00,60,60,0.0,已完成,校门口,银行卡
T000058,P006178,U001056,U002328,2024-03-27 00:00:00,120,120,0.0,已完成,教学楼,银行卡
T000059,P006652,U001298,U002489,2022-07-30 00:00:00,410,410,0.0,已完成,快递站,微信
T000060,P002289,U000305,U000056,2021-11-11 00:00:00,280,270,3.57,已完成,食堂,支付宝
T000061,P001741,U001022,U000427,2021-03-02 00:00:00,170,170,0.0,已完成,快递站,现金
T000062,P001684,U000855,U000741,2023-06-12 00:00:00,90,90,0.0,退款中,食堂,微信
T000063,P005888,U000512,U000888,2024-01-16 00:00:00,280,280,0.0,已完成,宿舍楼下,支付宝
T000064,P006643,U000408,U002127,2024-04-25 00:00:00,250,230,8.0,已取消,快递站,现金
T000065,P003034,U000307,U002767,2021-10-03 00:00:00,210,210,0.0,已取消,线上交易,银行卡
T000066,P006088,U000722,U001958,2024-03-14 00:00:00,20,20,0.0,已完成,校门口,支付宝
T000067,P001807,U002046,U000944,2022-05-27 00:00:00,50,50,0.0,已完成,教学楼,微信
T000068,P003984,U000914,U000234,2022-09-12 00:00:00,190,170,10.53,已完成,教学楼,支付宝
T000069,P000667,U001090,U001473,2023-09-09 00:00:00,190,180,5.26,退款中,图书馆门口,现金
T000070,P001485,U000960,U000225,2021-03-18 00:00:00,200,190,5.0,已完成,宿舍楼下,支付宝
T000071,P007292,U001064,U001298,2024-04-22 00:00:00,200,180,10.0,已完成,图书馆门口,银行卡
T000072,P000056,U002501,U001311,2024-01-14 00:00:00,170,160,5.88,已完成,校门口,银行卡
T000073,P003905,U002832,U002850,2021-06-25 00:00:00,50,50,0.0,已完成,快递站,支付宝
T000074,P007028,U002227,U001836,2020-11-08 00:00:00,400,360,10.0,已取消,食堂,银行卡
T000075,P005949,U002165,U001131,2021-05-23 00:00:00,70,70,0.0,已完成,教学楼,银行卡
T000076,P005872,U000800,U001712,2023-01-12 00:00:00,130,120,7.69,已完成,快递站,现金
T000077,P003059,U002564,U002015,2024-01-13 00:00:00,210,200,4.76,已完成,食堂,支付宝
T000078,P005314,U000779,U001228,2021-12-31 00:00:00,90,90,0.0,已完成,食堂,微信
T000079,P004933,U000814,U002997,2023-03-16 00:00:00,90,80,11.11,已完成,快递站,微信
T000080,P001128,U001332,U002047,2021-05-06 00:00:00,150,140,6.67,已完成,食堂,银行卡
T000081,P001585,U001716,U000004,2022-09-22 00:00:00,240,230,4.17,退款中,宿舍楼下,银行卡
T000082,P001117,U000114,U001624,2022-01-14 00:00:00,290,270,6.9,已取消,图书馆门口,微信
T000083,P001353,U001588,U000561,2023-10-22 00:00:00,40,40,0.0,已完成,食堂,微信
T000084,P001964,U000429,U001088,2022-04-05 00:00:00,70,70,0.0,已完成,食堂,支付宝
T000085,P003418,U002368,U002556,2023-06-05 00:00:00,220,200,9.09,已取消,快递站,银行卡
T000086,P003121,U000423,U001082,2021-07-02 00:00:00,120,110,8.33,已完成,图书馆门口,支付宝
T000087,P004773,U002996,U001187,2022-05-30 00:00:00,160,150,6.25,已完成,体育馆,支付宝
T000088,P003765,U001861,U002922,2020-12-29 00:00:00,100,100,0.0,已取消,宿舍楼下,支付宝
T000089,P000297,U000942,U001431,2023-12-22 00:00:00,200,190,5.0,退款中,图书馆门口,微信
T000090,P004042,U001651,U001444,2024-06-24 00:00:00,150,140,6.67,已完成,线上交易,微信
T000091,P003404,U001784,U000643,2022-11-03 00:00:00,40,40,0.0,已取消,快递站,支付宝
T000092,P006637,U001386,U002140,2023-10-30 00:00:00,30,30,0.0,已完成,宿舍楼下,现金
T000093,P002616,U002895,U001160,2023-05-31 00:00:00,80,80,0.0,已取消,宿舍楼下,支付宝
T000094,P002345,U002957,U000373,2022-09-12 00:00:00,140,130,7.14,退款中,体育馆,银行卡
T000095,P004889,U002276,U000136,2023-04-06 00:00:00,200,200,0.0,已完成,线上交易,支付宝
T000096,P003066,U001553,U002693,2022-10-21 00:00:00,240,220,8.33,已完成,教学楼,支付宝
T000097,P005066,U000831,U002615,2023-03-29 00:00:00,240,230,4.17,已完成,校门口,微信
T000098,P000435,U000108,U002846,2022-05-31 00:00:00,170,160,5.88,已完成,线上交易,银行卡
T000099,P007729,U000321,U000627,2021-04-03 00:00:00,1160,1100,5.17,已完成,快递站,现金
T000100,P003347,U001106,U001747,2024-01-28 00:00:00,3540,3220,9.04,已完成,校门口,微信
T000101,P003132,U002750,U001785,2023-07-24 00:00:00,230,230,0.0,退款中,宿舍楼下,微信
T000102,P006196,U002779,U000628,2024-05-18 00:00:00,270,260,3.7,已完成,教学楼,银行卡
T000103,P005463,U000103,U000965,2022-10-30 00:00:00,110,110,0.0,已完成,宿舍楼下,现金
T000104,P005089,U000864,U002134,2023-04-30 00:00:00,70,70,0.0,已完成,食堂,银行卡
T000105,P004026,U002665,U001218,2023-05-24 00:00:00,180,180,0.0,已完成,图书馆门口,支付宝
T000106,P002919,U001411,U001594,2021-02-26 00:00:00,120,110,8.33,已完成,教学楼,支付宝
T000107,P002029,U000393,U000677,2021-06-04 00:00:00,30,30,0.0,已完成,图书馆门口,银行卡
T000108,P003408,U002585,U001935,2023-05-15 00:00:00,170,170,0.0,已完成,体育馆,支付宝
T000109,P007248,U001444,U000862,2023-05-24 00:00:00,310,300,3.23,已完成,教学楼,微信
T000110,P004690,U000294,U001940,2024-06-27 00:00:00,230,220,4.35,退款中,快递站,银行卡
T000111,P005145,U000130,U002550,2023-02-15 00:00:00,410,390,4.88,已取消,校门口,银行卡
T000112,P003194,U001858,U001548,2021-03-21 00:00:00,90,90,0.0,已完成,校门口,银行卡
T000113,P002310,U000189,U002670,2021-07-13 00:00:00,120,110,8.33,已完成,校门口,银行卡
T000114,P001790,U001980,U001519,2022-11-01 00:00:00,340,340,0.0,已完成,宿舍楼下,银行卡
T000115,P002575,U002643,U002972,2023-04-04 00:00:00,140,130,7.14,已完成,体育馆,微信
T000116,P005050,U002268,U000186,2023-04-13 00:00:00,100,100,0.0,已完成,快递站,微信
T000117,P003520,U000225,U002847,2023-09-11 00:00:00,280,270,3.57,已完成,教学楼,银行卡
T000118,P005105,U001003,U000218,2023-06-17 00:00:00,110,100,9.09,已取消,食堂,支付宝
T000119,P003065,U001151,U002785,2023-05-07 00:00:00,250,230,8.0,已完成,快递站,现金
T000120,P007991,U000448,U001971,2022-09-16 00:00:00,200,180,10.0,已完成,体育馆,银行卡
T000121,P005010,U001064,U000792,2024-04-26 00:00:00,130,130,0.0,已完成,图书馆门口,现金
T000122,P000412,U002953,U002705,2021-10-01 00:00:00,140,130,7.14,已完成,校门口,支付宝
T000123,P004286,U001799,U000835,2023-09-04 00:00:00,220,210,4.55,已完成,图书馆门口,微信
T000124,P000840,U000026,U001027,2023-06-03 00:00:00,90,80,11.11,已取消,教学楼,支付宝
T000125,P006304,U002335,U001246,2023-03-08 00:00:00,210,210,0.0,已完成,线上交易,现金
T000126,P007211,U000069,U002362,2021-08-29 00:00:00,20,20,0.0,退款中,快递站,支付宝
T000127,P002790,U002164,U002314,2023-07-07 00:00:00,350,320,8.57,已完成,宿舍楼下,微信
T000128,P005460,U001727,U002103,2023-12-12 00:00:00,70,70,0.0,退款中,图书馆门口,微信
T000129,P005850,U000637,U002238,2023-04-09 00:00:00,160,150,6.25,已完成,快递站,微信
T000130,P004513,U000717,U001736,2024-01-08 00:00:00,40,40,0.0,已完成,教学楼,支付宝
T000131,P005354,U001891,U001038,2023-10-20 00:00:00,60,60,0.0,退款中,体育馆,微信
T000132,P005507,U002533,U001671,2023-12-28 00:00:00,60,50,16.67,退款中,食堂,现金
T000133,P001593,U002008,U001926,2021-07-30 00:00:00,380,360,5.26,退款中,食堂,支付宝
T000134,P003726,U000964,U000674,2021-04-25 00:00:00,60,60,0.0,已完成,宿舍楼下,微信
T000135,P004595,U001704,U002567,2021-01-14 00:00:00,60,60,0.0,已完成,图书馆门口,银行卡
T000136,P002536,U000700,U002342,2022-01-07 00:00:00,110,110,0.0,已取消,宿舍楼下,微信
T000137,P003184,U001631,U002099,2022-12-26 00:00:00,40,40,0.0,已完成,宿舍楼下,支付宝
T000138,P006278,U000104,U001965,2024-06-30 00:00:00,30,30,0.0,已完成,校门口,现金
T000139,P000887,U000963,U001527,2020-12-11 00:00:00,60,60,0.0,退款中,宿舍楼下,银行卡
T000140,P005142,U001629,U000374,2023-03-05 00:00:00,160,150,6.25,退款中,教学楼,支付宝
T000141,P003548,U002713,U001261,2023-08-29 00:00:00,300,290,3.33,已完成,教学楼,现金
T000142,P000876,U000556,U002899,2020-12-15 00:00:00,40,40,0.0,退款中,宿舍楼下,现金
T000143,P000265,U002237,U002440,2021-11-05 00:00:00,140,130,7.14,已完成,体育馆,现金
T000144,P005250,U000117,U001342,2021-07-29 00:00:00,270,240,11.11,已取消,快递站,现金
T000145,P004460,U001050,U001394,2022-07-08 00:00:00,60,60,0.0,已完成,教学楼,支付宝
T000146,P007219,U000948,U000877,2024-04-26 00:00:00,40,40,0.0,已完成,图书馆门口,现金
T000147,P005070,U000390,U002835,2021-07-11 00:00:00,40,40,0.0,已完成,图书馆门口,银行卡
T000148,P004560,U001849,U001054,2024-02-09 00:00:00,70,70,0.0,已取消,线上交易,微信
T000149,P001135,U000142,U001666,2023-12-16 00:00:00,170,160,5.88,已完成,线上交易,支付宝
T000150,P000353,U002247,U002048,2023-10-31 00:00:00,420,380,9.52,退款中,食堂,现金
T000151,P006954,U002906,U001471,2022-05-02 00:00:00,3980,3720,6.53,已完成,教学楼,银行卡
T000152,P001663,U000498,U000706,2023-10-13 00:00:00,60,50,16.67,已完成,体育馆,现金
T000153,P000951,U001796,U002132,2023-09-27 00:00:00,100,100,0.0,已完成,图书馆门口,银行卡
T000154,P002808,U002334,U001489,2021-02-19 00:00:00,40,40,0.0,已完成,校门口,银行卡
T000155,P007291,U002853,U000275,2024-04-10 00:00:00,240,220,8.33,已取消,教学楼,现金
T000156,P006320,U000594,U001128,2021-02-27 00:00:00,100,90,10.0,退款中,快递站,微信
T000157,P002283,U000281,U001906,2021-10-30 00:00:00,110,100,9.09,已完成,宿舍楼下,现金
T000158,P002129,U002551,U000550,2023-08-25 00:00:00,330,300,9.09,已完成,食堂,支付宝
T000159,P004800,U001683,U002236,2023-01-19 00:00:00,130,120,7.69,已完成,快递站,现金
T000160,P005467,U001480,U001770,2021-05-15 00:00:00,80,80,0.0,已取消,宿舍楼下,银行卡
T000161,P004095,U002134,U002894,2023-08-28 00:00:00,320,310,3.12,退款中,食堂,银行卡
T000162,P002035,U002205,U001121,2021-10-25 00:00:00,190,190,0.0,已取消,食堂,现金
T000163,P004030,U002226,U002509,2022-01-04 00:00:00,280,260,7.14,已完成,快递站,微信
T000164,P001495,U002313,U002180,2021-07-06 00:00:00,50,50,0.0,已完成,校门口,现金
T000165,P006324,U001972,U002414,2023-03-02 00:00:00,430,420,2.33,已取消,体育馆,银行卡
T000166,P002968,U000554,U001746,2022-01-02 00:00:00,170,160,5.88,已完成,线上交易,支付宝
T000167,P003651,U000014,U002228,2022-08-29 00:00:00,160,150,6.25,已完成,教学楼,支付宝
T000168,P000493,U000263,U001311,2023-01-09 00:00:00,170,170,0.0,已完成,食堂,微信
T000169,P000163,U001319,U001675,2021-07-30 00:00:00,140,140,0.0,已完成,宿舍楼下,银行卡
T000170,P002190,U001799,U001473,2022-10-28 00:00:00,290,290,0.0,退款中,宿舍楼下,银行卡
T000171,P004772,U000604,U000337,2022-03-17 00:00:00,310,290,6.45,退款中,教学楼,现金
T000172,P004651,U001412,U000893,2023-11-09 00:00:00,730,720,1.37,已完成,食堂,现金
T000173,P003078,U001083,U000223,2022-12-26 00:00:00,140,140,0.0,已完成,体育馆,微信
T000174,P000045,U000033,U000697,2021-09-16 00:00:00,280,260,7.14,已完成,体育馆,银行卡
T000175,P007522,U001533,U000085,2021-03-21 00:00:00,60,60,0.0,已完成,宿舍楼下,微信
T000176,P007897,U001519,U002407,2020-11-25 00:00:00,300,280,6.67,已取消,体育馆,支付宝
T000177,P000930,U000407,U002267,2024-06-28 00:00:00,150,150,0.0,已完成,食堂,微信
T000178,P000776,U000478,U001864,2021-03-17 00:00:00,80,80,0.0,已完成,体育馆,现金
T000179,P003914,U001440,U002505,2022-11-10 00:00:00,80,80,0.0,退款中,教学楼,银行卡
T000180,P001895,U002652,U000884,2020-12-02 00:00:00,130,120,7.69,已取消,图书馆门口,微信
T000181,P002209,U000839,U000573,2022-03-16 00:00:00,30,30,0.0,已完成,线上交易,支付宝
T000182,P007145,U001860,U000127,2023-06-21 00:00:00,50,50,0.0,已完成,食堂,银行卡
T000183,P006795,U000752,U000450,2024-05-06 00:00:00,240,220,8.33,已取消,校门口,现金
T000184,P004298,U001518,U001081,2024-04-06 00:00:00,2400,2340,2.5,已完成,校门口,银行卡
T000185,P001846,U000302,U001502,2021-05-25 00:00:00,60,60,0.0,退款中,体育馆,银行卡
T000186,P003367,U002267,U000293,2022-02-04 00:00:00,200,180,10.0,已取消,食堂,现金
T000187,P004423,U002865,U002018,2020-09-28 00:00:00,60,60,0.0,已完成,教学楼,银行卡
T000188,P003702,U000446,U000840,2021-05-06 00:00:00,9650,9540,1.14,已取消,教学楼,现金
T000189,P007880,U002638,U001396,2021-01-29 00:00:00,130,120,7.69,退款中,教学楼,微信
T000190,P004543,U000149,U001260,2022-03-26 00:00:00,460,450,2.17,已完成,图书馆门口,银行卡
T000191,P003192,U002175,U001893,2022-12-14 00:00:00,120,120,0.0,已完成,教学楼,支付宝
T000192,P002778,U000801,U002553,2024-01-30 00:00:00,150,140,6.67,已完成,宿舍楼下,银行卡
T000193,P000583,U000532,U002992,2022-01-07 00:00:00,80,80,0.0,已完成,线上交易,支付宝
T000194,P004195,U002821,U001679,2022-12-23 00:00:00,130,120,7.69,已完成,校门口,现金
T000195,P001815,U002018,U001467,2024-03-24 00:00:00,1620,1620,0.0,已完成,体育馆,现金
T000196,P005026,U000483,U000563,2021-09-02 00:00:00,60,60,0.0,已完成,宿舍楼下,支付宝
T000197,P004008,U000399,U001813,2023-01-27 00:00:00,1140,1120,1.75,已完成,校门口,微信
T000198,P000941,U000309,U002007,2023-07-17 00:00:00,100,100,0.0,已完成,教学楼,现金
T000199,P000379,U000583,U002782,2020-11-10 00:00:00,180,160,11.11,已完成,教学楼,微信
T000200,P007344,U000176,U002154,2023-11-01 00:00:00,230,210,8.7,已完成,体育馆,银行卡
T000201,P001633,U001496,U002375,2020-12-11 00:00:00,1070,990,7.48,已完成,图书馆门口,微信
T000202,P002216,U001699,U001937,2022-08-23 00:00:00,60,60,0.0,已取消,食堂,支付宝
T000203,P005471,U001540,U001470,2024-04-10 00:00:00,70,70,0.0,已完成,校门口,银行卡
T000204,P001427,U001975,U000678,2024-05-29 00:00:00,270,260,3.7,已取消,快递站,银行卡
T000205,P007318,U002886,U000032,2024-04-05 00:00:00,110,100,9.09,已完成,食堂,支付宝
T000206,P002312,U001321,U000463,2021-07-20 00:00:00,80,80,0.0,已完成,食堂,支付宝
T000207,P006562,U002513,U002819,2024-06-27 00:00:00,30,30,0.0,已完成,宿舍楼下,微信
T000208,P003199,U000460,U002646,2022-06-21 00:00:00,360,330,8.33,退款中,体育馆,银行卡
T000209,P000281,U000104,U000490,2020-11-27 00:00:00,130,120,7.69,已完成,教学楼,现金
T000210,P001043,U002126,U002333,2022-11-18 00:00:00,2150,1980,7.91,已取消,线上交易,现金
T000211,P000216,U001269,U002296,2021-11-28 00:00:00,260,260,0.0,已取消,食堂,微信
T000212,P003943,U002143,U002122,2021-06-08 00:00:00,170,160,5.88,已完成,线上交易,支付宝
T000213,P004235,U002821,U001799,2023-12-09 00:00:00,3720,3540,4.84,已完成,校门口,微信
T000214,P001936,U002740,U001274,2024-02-24 00:00:00,3260,3020,7.36,已完成,校门口,微信
T000215,P005027,U000845,U001492,2020-12-03 00:00:00,310,290,6.45,已完成,教学楼,支付宝
T000216,P002005,U000349,U000977,2022-08-26 00:00:00,210,200,4.76,已完成,食堂,微信
T000217,P006158,U000823,U000304,2022-05-23 00:00:00,390,370,5.13,已完成,宿舍楼下,微信
T000218,P006112,U002016,U002860,2021-08-27 00:00:00,30,30,0.0,已完成,校门口,支付宝
T000219,P003904,U001929,U002957,2023-07-20 00:00:00,50,50,0.0,已完成,校门口,支付宝
T000220,P002346,U002225,U000148,2022-09-16 00:00:00,2210,2130,3.62,已完成,教学楼,现金
T000221,P002305,U002763,U002676,2024-03-29 00:00:00,160,160,0.0,已完成,图书馆门口,现金
T000222,P002895,U000722,U002892,2023-03-06 00:00:00,3580,3270,8.66,已完成,图书馆门口,现金
T000223,P007566,U001081,U002527,2022-03-22 00:00:00,30,30,0.0,已完成,教学楼,支付宝
T000224,P000035,U000183,U002915,2022-03-27 00:00:00,70,60,14.29,已完成,图书馆门口,银行卡
T000225,P005691,U001438,U000020,2024-06-27 00:00:00,400,400,0.0,已完成,宿舍楼下,银行卡
T000226,P006283,U000156,U002913,2021-01-26 00:00:00,400,380,5.0,已完成,体育馆,现金
T000227,P001120,U002527,U000238,2023-11-17 00:00:00,370,350,5.41,已完成,快递站,支付宝
T000228,P000335,U000462,U002890,2023-08-20 00:00:00,60,50,16.67,已取消,教学楼,银行卡
T000229,P006222,U001811,U002532,2022-12-13 00:00:00,60,60,0.0,已完成,校门口,现金
T000230,P003014,U002295,U002808,2022-11-30 00:00:00,110,100,9.09,已完成,食堂,银行卡
T000231,P002780,U000318,U001925,2023-11-26 00:00:00,90,90,0.0,退款中,图书馆门口,支付宝
T000232,P001166,U002847,U000025,2021-01-15 00:00:00,370,350,5.41,已完成,线上交易,支付宝
T000233,P003902,U002182,U000623,2023-03-29 00:00:00,270,260,3.7,退款中,食堂,微信
T000234,P001607,U000986,U002919,2020-12-09 00:00:00,80,70,12.5,退款中,食堂,支付宝
T000235,P003543,U000760,U001790,2023-07-13 00:00:00,90,90,0.0,已完成,图书馆门口,现金
T000236,P004282,U002302,U001632,2023-04-24 00:00:00,110,110,0.0,已完成,快递站,现金
T000237,P000057,U001784,U000071,2021-05-05 00:00:00,90,80,11.11,已完成,教学楼,现金
T000238,P000366,U000149,U001162,2022-10-24 00:00:00,130,130,0.0,已完成,图书馆门口,支付宝
T000239,P003710,U000121,U002692,2024-01-21 00:00:00,210,200,4.76,已完成,快递站,银行卡
T000240,P004508,U000392,U002573,2022-03-27 00:00:00,430,390,9.3,已完成,食堂,银行卡
T000241,P002798,U000010,U002668,2021-07-25 00:00:00,110,100,9.09,已完成,快递站,银行卡
T000242,P004302,U000459,U001687,2020-09-21 00:00:00,370,360,2.7,已完成,宿舍楼下,支付宝
T000243,P007005,U000222,U000280,2020-12-27 00:00:00,8380,8330,0.6,已完成,体育馆,现金
T000244,P007970,U002040,U001430,2023-07-01 00:00:00,30,30,0.0,已完成,快递站,支付宝
T000245,P001555,U002972,U000215,2021-11-29 00:00:00,30,30,0.0,已完成,食堂,微信
T000246,P002144,U000284,U001498,2022-10-08 00:00:00,120,120,0.0,已取消,宿舍楼下,银行卡
T000247,P005845,U001791,U000434,2022-10-30 00:00:00,1760,1710,2.84,已完成,体育馆,微信
T000248,P000770,U000514,U000713,2022-01-07 00:00:00,190,170,10.53,已完成,图书馆门口,支付宝
T000249,P002281,U001704,U001970,2024-06-16 00:00:00,130,120,7.69,已完成,图书馆门口,微信
T000250,P005238,U001906,U000403,2020-10-09 00:00:00,130,120,7.69,已完成,校门口,支付宝
T000251,P002866,U000714,U002697,2023-04-03 00:00:00,340,310,8.82,退款中,图书馆门口,支付宝
T000252,P000870,U000042,U001824,2020-12-05 00:00:00,120,120,0.0,已完成,线上交易,现金
T000253,P001535,U002617,U001489,2023-04-05 00:00:00,80,80,0.0,已取消,食堂,银行卡
T000254,P002950,U001420,U001767,2022-03-30 00:00:00,380,350,7.89,已取消,校门口,支付宝
T000255,P000195,U002497,U000720,2021-01-23 00:00:00,130,120,7.69,已完成,体育馆,现金
T000256,P001076,U001660,U000369,2023-01-21 00:00:00,230,230,0.0,已完成,教学楼,微信
T000257,P001927,U002143,U002114,2021-06-08 00:00:00,260,250,3.85,已取消,食堂,微信
T000258,P006035,U000426,U001779,2023-07-21 00:00:00,90,90,0.0,退款中,食堂,微信
T000259,P007474,U002220,U000581,2022-12-20 00:00:00,290,290,0.0,已完成,宿舍楼下,支付宝
T000260,P007467,U002050,U001330,2021-04-06 00:00:00,170,160,5.88,已完成,快递站,支付宝
T000261,P000095,U001057,U000420,2023-12-09 00:00:00,150,150,0.0,已完成,食堂,微信
T000262,P003890,U002653,U001436,2021-06-06 00:00:00,420,410,2.38,退款中,快递站,银行卡
T000263,P007952,U001302,U002001,2020-10-27 00:00:00,40,40,0.0,已完成,校门口,微信
T000264,P000130,U002499,U000744,2024-05-10 00:00:00,130,120,7.69,已完成,体育馆,微信
T000265,P003443,U001387,U001814,2021-06-19 00:00:00,90,90,0.0,已完成,体育馆,现金
T000266,P004327,U000443,U000773,2024-05-20 00:00:00,2220,2130,4.05,已完成,校门口,银行卡
T000267,P007575,U000246,U002877,2022-06-15 00:00:00,260,240,7.69,已完成,食堂,支付宝
T000268,P002499,U002329,U001039,2023-02-14 00:00:00,3060,2940,3.92,退款中,宿舍楼下,银行卡
T000269,P003563,U001648,U002947,2021-09-27 00:00:00,130,120,7.69,已完成,快递站,微信
T000270,P002291,U002277,U002366,2022-09-27 00:00:00,280,280,0.0,已完成,宿舍楼下,支付宝
T000271,P003608,U000985,U000060,2023-03-15 00:00:00,400,380,5.0,已完成,线上交易,现金
T000272,P001952,U002281,U002176,2022-11-14 00:00:00,250,240,4.0,已完成,食堂,银行卡
T000273,P000282,U002433,U001627,2023-04-08 00:00:00,230,210,8.7,已完成,宿舍楼下,银行卡
T000274,P003022,U001708,U002371,2021-03-15 00:00:00,50,50,0.0,退款中,图书馆门口,现金
T000275,P000096,U002309,U002965,2022-10-12 00:00:00,90,80,11.11,已完成,校门口,微信
