product_id,title,category,subcategory,brand,condition,condition_score,original_price,selling_price,usage_months,seller_id,publish_date,status,views,favorites,description
P000026,杂牌 帽子 7成新,服饰鞋包,帽子,杂牌,7成新,6.0,453,170,8,U002286,2023-02-09,已售出,101,1,7成新帽子，使用8个月，保养良好
P000027,杂牌 书架 6成新,家具,书架,杂牌,6成新,5.0,393,110,28,U000876,2024-02-16,已售出,205,47,6成新书架，使用28个月，保养良好
P000028,无品牌 工具书 99新,图书教材,工具书,无品牌,99新,9.5,276,230,4,U000023,2023-12-15,已售出,178,6,99新工具书，使用4个月，保养良好
P000029,其他 床上用品 全新,生活用品,床上用品,其他,全新,10.0,360,330,42,U001127,2024-04-07,已下架,213,5,全新床上用品，使用42个月，保养良好
P000030,杂牌 电子琴 7成新,乐器,电子琴,杂牌,7成新,6.0,79,30,2,U002942,2023-04-23,已下架,261,22,7成新电子琴，使用2个月，保养良好
P000031,其他 瑜伽垫 6成新,运动器材,瑜伽垫,其他,6成新,5.0,329,100,3,U001514,2020-10-30,在售,371,94,6成新瑜伽垫，使用3个月，保养良好
P000032,无品牌 课外读物 全新,图书教材,课外读物,无品牌,全新,10.0,264,270,2,U000230,2023-02-26,在售,170,6,全新课外读物，使用2个月，保养良好
P000033,杂牌 床垫 6成新,家具,床垫,杂牌,6成新,5.0,149,50,48,U000069,2022-07-14,已售出,469,43,6成新床垫，使用48个月，保养良好
P000034,杂牌 T恤 8成新,服饰鞋包,T恤,杂牌,8成新,7.0,57,30,26,U001706,2024-05-30,在售,43,3,8成新T恤，使用26个月，保养良好
P000035,无品牌 床垫 7成新,家具,床垫,无品牌,7成新,6.0,186,70,29,U000183,2022-03-19,已售出,362,64,7成新床垫，使用29个月，保养良好
P000036,其他 篮球 7成新,运动器材,篮球,其他,7成新,6.0,481,210,1,U001275,2022-03-15,已售出,70,10,7成新篮球，使用1个月，保养良好
P000037,其他 哑铃 全新,运动器材,哑铃,其他,全新,10.0,339,350,6,U000477,2021-03-05,在售,383,22,全新哑铃，使用6个月，保养良好
P000038,其他 英语学习 7成新,图书教材,英语学习,其他,7成新,6.0,60,30,1,U000891,2024-03-30,已售出,245,10,7成新英语学习，使用1个月，保养良好
P000039,杂牌 尤克里里 6成新,乐器,尤克里里,杂牌,6成新,5.0,398,120,13,U000544,2022-05-29,在售,204,36,6成新尤克里里，使用13个月，保养良好
P000040,无品牌 英语学习 8成新,图书教材,英语学习,无品牌,8成新,7.0,211,100,4,U001118,2021-10-14,在售,161,16,8成新英语学习，使用4个月，保养良好
P000041,杂牌 口琴 全新,乐器,口琴,杂牌,全新,10.0,300,280,24,U001429,2024-04-07,已下架,434,43,全新口琴，使用24个月，保养良好
P000042,杂牌 显示器 99新,电子产品,显示器,杂牌,99新,9.5,325,280,45,U001778,2022-08-12,已售出,116,21,99新显示器，使用45个月，保养良好
P000043,其他 架子鼓 6成新,乐器,架子鼓,其他,6成新,5.0,430,140,6,U002103,2021-11-06,已售出,121,29,6成新架子鼓，使用6个月，保养良好
P000044,无品牌 电吹风 8成新,生活用品,电吹风,无品牌,8成新,7.0,218,110,31,U000573,2023-04-15,已售出,200,48,8成新电吹风，使用31个月，保养良好
P000045,无品牌 架子鼓 95新,乐器,架子鼓,无品牌,95新,9.0,409,280,23,U000033,2021-07-23,已售出,253,42,95新架子鼓，使用23个月，保养良好
P000046,无品牌 洗漱用品 99新,生活用品,洗漱用品,无品牌,99新,9.5,233,190,30,U002240,2021-09-17,在售,234,78,99新洗漱用品，使用30个月，保养良好
P000047,其他 哑铃 7成新,运动器材,哑铃,其他,7成新,6.0,272,110,31,U000998,2022-01-31,已售出,317,43,7成新哑铃，使用31个月，保养良好
P000048,杂牌 瑜伽垫 95新,运动器材,瑜伽垫,杂牌,95新,9.0,70,60,15,U002077,2021-04-09,已售出,228,34,95新瑜伽垫，使用15个月，保养良好
P000049,其他 帽子 全新,服饰鞋包,帽子,其他,全新,10.0,133,130,20,U002445,2023-08-10,已售出,497,145,全新帽子，使用20个月，保养良好
P000050,无品牌 椅子 7成新,家具,椅子,无品牌,7成新,6.0,220,90,4,U000371,2022-05-27,在售,420,88,7成新椅子，使用4个月，保养良好
P000051,无品牌 跑步机 9成新,运动器材,跑步机,无品牌,9成新,8.0,50,30,13,U000705,2022-05-11,已售出,51,5,9成新跑步机，使用13个月，保养良好
P000052,无品牌 课外读物 9成新,图书教材,课外读物,无品牌,9成新,8.0,96,70,3,U002805,2023-10-13,已售出,12,3,9成新课外读物，使用3个月，保养良好
P000053,无品牌 英语学习 9成新,图书教材,英语学习,无品牌,9成新,8.0,331,220,12,U000871,2023-04-26,已售出,435,118,9成新英语学习，使用12个月，保养良好
P000054,无品牌 尤克里里 9成新,乐器,尤克里里,无品牌,9成新,8.0,115,70,9,U001638,2022-07-02,已售出,429,108,9成新尤克里里，使用9个月，保养良好
P000055,其他 帽子 全新,服饰鞋包,帽子,其他,全新,10.0,227,220,48,U002403,2020-10-26,已售出,463,45,全新帽子，使用48个月，保养良好
P000056,杂牌 椅子 95新,家具,椅子,杂牌,95新,9.0,224,170,1,U002501,2024-01-11,已售出,478,19,95新椅子，使用1个月，保养良好
P000057,无品牌 尤克里里 9成新,乐器,尤克里里,无品牌,9成新,8.0,146,90,20,U001784,2021-03-10,已售出,206,23,9成新尤克里里，使用20个月，保养良好
P000058,杂牌 篮球 95新,运动器材,篮球,杂牌,95新,9.0,248,190,31,U000143,2022-02-17,已售出,101,10,95新篮球，使用31个月，保养良好
P000059,其他 瑜伽垫 6成新,运动器材,瑜伽垫,其他,6成新,5.0,104,30,6,U001419,2021-03-27,已售出,421,3,6成新瑜伽垫，使用6个月，保养良好
P000060,无品牌 英语学习 8成新,图书教材,英语学习,无品牌,8成新,7.0,309,150,8,U000048,2023-05-24,已售出,226,6,8成新英语学习，使用8个月，保养良好
P000061,杂牌 收纳箱 7成新,生活用品,收纳箱,杂牌,7成新,6.0,374,140,29,U002057,2022-10-04,已下架,374,42,7成新收纳箱，使用29个月，保养良好
P000062,杂牌 床垫 全新,家具,床垫,杂牌,全新,10.0,452,400,28,U002178,2022-10-26,在售,86,0,全新床垫，使用28个月，保养良好
P000063,其他 洗漱用品 95新,生活用品,洗漱用品,其他,95新,9.0,151,110,40,U002981,2023-03-21,已售出,34,7,95新洗漱用品，使用40个月，保养良好
P000064,无品牌 电吹风 6成新,生活用品,电吹风,无品牌,6成新,5.0,175,50,4,U002455,2022-09-27,已售出,227,43,6成新电吹风，使用4个月，保养良好
P000065,无品牌 电子琴 8成新,乐器,电子琴,无品牌,8成新,7.0,186,90,23,U001709,2020-10-06,已下架,176,19,8成新电子琴，使用23个月，保养良好
P000066,雅依利 吉他 全新,乐器,吉他,雅依利,全新,10.0,3426,3410,35,U001623,2022-01-23,在售,53,17,全新吉他，使用35个月，保养良好
P000067,华硕 笔记本电脑 7成新,电子产品,笔记本电脑,华硕,7成新,6.0,11084,4370,18,U001415,2023-03-28,已售出,480,134,7成新笔记本电脑，使用18个月，保养良好
P000068,无品牌 帽子 全新,服饰鞋包,帽子,无品牌,全新,10.0,217,200,10,U002496,2024-03-30,在售,205,65,全新帽子，使用10个月，保养良好
P000069,Martin 吉他 7成新,乐器,吉他,Martin,7成新,6.0,2973,1270,48,U001053,2024-04-30,在售,438,110,7成新吉他，使用48个月，保养良好
P000070,其他 台式机 95新,电子产品,台式机,其他,95新,9.0,4483,3440,35,U000999,2020-12-10,已售出,303,60,95新台式机，使用35个月，保养良好
P000071,杂牌 课外读物 95新,图书教材,课外读物,杂牌,95新,9.0,432,340,3,U001134,2023-06-25,在售,319,51,95新课外读物，使用3个月，保养良好
P000072,杂牌 工具书 95新,图书教材,工具书,杂牌,95新,9.0,52,40,1,U001698,2024-05-08,在售,150,17,95新工具书，使用1个月，保养良好
P000073,其他 哑铃 95新,运动器材,哑铃,其他,95新,9.0,99,70,2,U002905,2022-06-27,已售出,42,9,95新哑铃，使用2个月，保养良好
P000074,其他 洗漱用品 8成新,生活用品,洗漱用品,其他,8成新,7.0,473,230,27,U002601,2024-01-03,已售出,287,49,8成新洗漱用品，使用27个月，保养良好
P000075,无品牌 哑铃 95新,运动器材,哑铃,无品牌,95新,9.0,224,160,29,U000622,2023-04-05,已下架,117,34,95新哑铃，使用29个月，保养良好
P000076,其他 尤克里里 9成新,乐器,尤克里里,其他,9成新,8.0,180,110,43,U002341,2021-02-08,已下架,297,44,9成新尤克里里，使用43个月，保养良好
P000077,其他 台式机 8成新,电子产品,台式机,其他,8成新,7.0,5024,2410,21,U001850,2024-06-13,已下架,25,2,8成新台式机，使用21个月，保养良好
P000078,无品牌 围巾 8成新,服饰鞋包,围巾,无品牌,8成新,7.0,230,120,27,U000096,2022-04-05,已下架,130,24,8成新围巾，使用27个月，保养良好
P000079,杂牌 鞋子 8成新,服饰鞋包,鞋子,杂牌,8成新,7.0,485,220,26,U000895,2021-11-07,在售,302,37,8成新鞋子，使用26个月，保养良好
P000080,无品牌 课外读物 6成新,图书教材,课外读物,无品牌,6成新,5.0,448,150,7,U002254,2022-12-16,已售出,394,55,6成新课外读物，使用7个月，保养良好
P000081,杂牌 哑铃 95新,运动器材,哑铃,杂牌,95新,9.0,444,320,7,U002721,2024-03-20,已售出,267,68,95新哑铃，使用7个月，保养良好
P000082,无品牌 帽子 6成新,服饰鞋包,帽子,无品牌,6成新,5.0,256,80,30,U001173,2023-03-10,在售,483,45,6成新帽子，使用30个月，保养良好
P000083,无品牌 羽毛球拍 8成新,运动器材,羽毛球拍,无品牌,8成新,7.0,474,230,30,U002688,2021-08-19,在售,206,53,8成新羽毛球拍，使用30个月，保养良好
P000084,无品牌 跑步机 7成新,运动器材,跑步机,无品牌,7成新,6.0,64,30,9,U002498,2024-02-22,在售,316,73,7成新跑步机，使用9个月，保养良好
P000085,无品牌 口琴 95新,乐器,口琴,无品牌,95新,9.0,362,260,37,U002563,2023-04-25,在售,497,94,95新口琴，使用37个月，保养良好
P000086,其他 显示器 9成新,电子产品,显示器,其他,9成新,8.0,332,220,13,U000662,2023-03-27,已售出,380,111,9成新显示器，使用13个月，保养良好
P000087,杂牌 考研资料 7成新,图书教材,考研资料,杂牌,7成新,6.0,152,60,5,U000266,2020-11-03,已售出,305,59,7成新考研资料，使用5个月，保养良好
P000088,其他 篮球 8成新,运动器材,篮球,其他,8成新,7.0,277,150,12,U001890,2023-06-22,在售,421,84,8成新篮球，使用12个月，保养良好
P000089,无品牌 椅子 9成新,家具,椅子,无品牌,9成新,8.0,419,300,1,U000133,2024-06-28,已售出,453,133,9成新椅子，使用1个月，保养良好
P000090,杂牌 滑板 全新,运动器材,滑板,杂牌,全新,10.0,450,420,17,U002933,2023-09-06,在售,376,99,全新滑板，使用17个月，保养良好
P000091,其他 T恤 7成新,服饰鞋包,T恤,其他,7成新,6.0,62,20,47,U000245,2022-04-23,已售出,434,10,7成新T恤，使用47个月，保养良好
P000092,其他 收纳箱 8成新,生活用品,收纳箱,其他,8成新,7.0,372,190,28,U000509,2021-04-01,在售,443,67,8成新收纳箱，使用28个月，保养良好
P000093,无品牌 床垫 7成新,家具,床垫,无品牌,7成新,6.0,136,50,43,U001392,2021-06-18,已售出,417,123,7成新床垫，使用43个月，保养良好
P000094,无品牌 英语学习 95新,图书教材,英语学习,无品牌,95新,9.0,378,290,8,U002905,2023-06-04,已售出,397,66,95新英语学习，使用8个月，保养良好
P000095,其他 床上用品 9成新,生活用品,床上用品,其他,9成新,8.0,219,150,45,U001057,2023-11-08,已售出,314,4,9成新床上用品，使用45个月，保养良好
P000096,无品牌 椅子 8成新,家具,椅子,无品牌,8成新,7.0,197,90,24,U002309,2022-09-13,已售出,167,45,8成新椅子，使用24个月，保养良好
P000097,其他 小说 95新,图书教材,小说,其他,95新,9.0,293,230,11,U001208,2021-07-14,在售,85,19,95新小说，使用11个月，保养良好
P000098,杂牌 小家电 95新,生活用品,小家电,杂牌,95新,9.0,376,270,14,U002389,2022-05-14,在售,309,1,95新小家电，使用14个月，保养良好
P000099,其他 床上用品 8成新,生活用品,床上用品,其他,8成新,7.0,431,230,34,U001663,2023-05-05,在售,186,41,8成新床上用品，使用34个月，保养良好
P000100,其他 小说 95新,图书教材,小说,其他,95新,9.0,317,230,8,U002656,2021-08-13,已下架,99,30,95新小说，使用8个月，保养良好
P000101,捷安特 自行车 95新,运动器材,自行车,捷安特,95新,9.0,760,550,15,U000615,2022-03-24,在售,342,25,95新自行车，使用15个月，保养良好
P000102,杂牌 收纳箱 8成新,生活用品,收纳箱,杂牌,8成新,7.0,376,200,48,U002147,2021-12-12,已售出,196,4,8成新收纳箱，使用48个月，保养良好
P000103,无品牌 瑜伽垫 95新,运动器材,瑜伽垫,无品牌,95新,9.0,309,210,36,U002191,2023-09-07,在售,418,14,95新瑜伽垫，使用36个月，保养良好
P000104,其他 哑铃 99新,运动器材,哑铃,其他,99新,9.5,175,140,48,U000749,2024-04-25,已售出,126,29,99新哑铃，使用48个月，保养良好
P000105,其他 教材 95新,图书教材,教材,其他,95新,9.0,91,60,4,U000261,2021-05-30,已售出,41,3,95新教材，使用4个月，保养良好
P000106,其他 考研资料 6成新,图书教材,考研资料,其他,6成新,5.0,347,100,2,U002200,2020-12-14,已售出,414,18,6成新考研资料，使用2个月，保养良好
P000107,无品牌 专业书籍 9成新,图书教材,专业书籍,无品牌,9成新,8.0,92,60,2,U002222,2023-12-22,已售出,316,62,9成新专业书籍，使用2个月，保养良好
P000108,无品牌 衣架 8成新,生活用品,衣架,无品牌,8成新,7.0,270,140,8,U002950,2023-02-24,已售出,311,103,8成新衣架，使用8个月，保养良好
P000109,杂牌 架子鼓 全新,乐器,架子鼓,杂牌,全新,10.0,178,180,39,U001109,2023-06-06,在售,178,32,全新架子鼓，使用39个月，保养良好
P000110,杂牌 哑铃 7成新,运动器材,哑铃,杂牌,7成新,6.0,203,80,35,U001020,2022-07-31,已售出,357,71,7成新哑铃，使用35个月，保养良好
P000111,其他 背包 9成新,服饰鞋包,背包,其他,9成新,8.0,107,80,12,U001998,2020-09-14,已售出,467,130,9成新背包，使用12个月，保养良好
P000112,无品牌 跑步机 99新,运动器材,跑步机,无品牌,99新,9.5,83,70,44,U001248,2021-03-13,已下架,185,40,99新跑步机，使用44个月，保养良好
P000113,无品牌 架子鼓 99新,乐器,架子鼓,无品牌,99新,9.5,448,350,15,U000874,2022-05-23,已售出,173,49,99新架子鼓，使用15个月，保养良好
P000114,无品牌 帽子 7成新,服饰鞋包,帽子,无品牌,7成新,6.0,203,90,14,U002339,2024-06-08,在售,175,10,7成新帽子，使用14个月，保养良好
P000115,杂牌 课外读物 6成新,图书教材,课外读物,杂牌,6成新,5.0,137,40,10,U002714,2021-07-19,已售出,499,132,6成新课外读物，使用10个月，保养良好
P000116,其他 瑜伽垫 6成新,运动器材,瑜伽垫,其他,6成新,5.0,263,80,18,U000937,2022-02-21,已下架,488,77,6成新瑜伽垫，使用18个月，保养良好
P000117,杂牌 台灯 95新,生活用品,台灯,杂牌,95新,9.0,120,100,21,U001843,2022-05-24,已售出,298,50,95新台灯，使用21个月，保养良好
P000118,无品牌 衣柜 6成新,家具,衣柜,无品牌,6成新,5.0,256,70,27,U001449,2024-04-15,在售,243,35,6成新衣柜，使用27个月，保养良好
P000119,无品牌 台式机 7成新,电子产品,台式机,无品牌,7成新,6.0,7870,2990,24,U000097,2022-06-22,已售出,414,97,7成新台式机，使用24个月，保养良好
P000120,其他 衣架 7成新,生活用品,衣架,其他,7成新,6.0,152,60,40,U002061,2023-02-19,已售出,64,2,7成新衣架，使用40个月，保养良好
P000121,杂牌 考研资料 7成新,图书教材,考研资料,杂牌,7成新,6.0,295,130,10,U001925,2020-12-04,已售出,362,116,7成新考研资料，使用10个月，保养良好
P000122,无品牌 口琴 95新,乐器,口琴,无品牌,95新,9.0,360,270,4,U000416,2020-12-24,已售出,151,34,95新口琴，使用4个月，保养良好
P000123,杂牌 收纳箱 全新,生活用品,收纳箱,杂牌,全新,10.0,291,260,48,U000304,2022-06-27,已售出,432,38,全新收纳箱，使用48个月，保养良好
P000124,其他 椅子 95新,家具,椅子,其他,95新,9.0,343,240,6,U001796,2022-01-16,已售出,303,69,95新椅子，使用6个月，保养良好
P000125,杂牌 小沙发 8成新,家具,小沙发,杂牌,8成新,7.0,321,170,45,U000090,2021-06-15,在售,455,80,8成新小沙发，使用45个月，保养良好
P000126,杂牌 书架 7成新,家具,书架,杂牌,7成新,6.0,159,60,30,U000933,2023-04-02,已售出,180,12,7成新书架，使用30个月，保养良好
P000127,杂牌 电子琴 8成新,乐器,电子琴,杂牌,8成新,7.0,432,230,9,U000489,2024-04-08,已售出,228,50,8成新电子琴，使用9个月，保养良好
P000128,无品牌 衣柜 6成新,家具,衣柜,无品牌,6成新,5.0,320,90,33,U001530,2020-10-04,已售出,26,8,6成新衣柜，使用33个月，保养良好
P000129,其他 书架 9成新,家具,书架,其他,9成新,8.0,194,130,41,U000275,2021-02-02,在售,295,14,9成新书架，使用41个月，保养良好
P000130,其他 鞋子 6成新,服饰鞋包,鞋子,其他,6成新,5.0,485,130,30,U002499,2024-04-24,已售出,394,18,6成新鞋子，使用30个月，保养良好
P000131,杂牌 小沙发 6成新,家具,小沙发,杂牌,6成新,5.0,191,60,48,U000624,2024-04-25,已售出,47,5,6成新小沙发，使用48个月，保养良好
P000132,杂牌 架子鼓 9成新,乐器,架子鼓,杂牌,9成新,8.0,320,220,48,U001772,2020-10-14,已售出,304,37,9成新架子鼓，使用48个月，保养良好
P000133,杂牌 显示器 全新,电子产品,显示器,杂牌,全新,10.0,54,50,28,U000617,2022-02-13,已售出,309,86,全新显示器，使用28个月，保养良好
P000134,其他 书架 9成新,家具,书架,其他,9成新,8.0,384,260,37,U001453,2023-11-26,在售,106,9,9成新书架，使用37个月，保养良好
P000135,无品牌 英语学习 全新,图书教材,英语学习,无品牌,全新,10.0,63,60,1,U000522,2023-09-12,已售出,498,17,全新英语学习，使用1个月，保养良好
P000136,杂牌 小家电 99新,生活用品,小家电,杂牌,99新,9.5,386,310,20,U000669,2023-01-17,已售出,129,13,99新小家电，使用20个月，保养良好
P000137,无品牌 书架 99新,家具,书架,无品牌,99新,9.5,499,460,29,U000505,2022-10-09,在售,237,26,99新书架，使用29个月，保养良好
P000138,永久 自行车 9成新,运动器材,自行车,永久,9成新,8.0,1117,680,25,U002418,2021-05-14,在售,99,32,9成新自行车，使用25个月，保养良好
P000139,其他 T恤 全新,服饰鞋包,T恤,其他,全新,10.0,133,130,8,U002004,2024-01-22,已售出,393,81,全新T恤，使用8个月，保养良好
P000140,无品牌 篮球 全新,运动器材,篮球,无品牌,全新,10.0,459,440,31,U001046,2023-07-09,在售,493,116,全新篮球，使用31个月，保养良好
P000141,一加 手机 6成新,电子产品,手机,一加,6成新,5.0,5440,1600,7,U001453,2022-09-09,已售出,438,16,6成新手机，使用7个月，保养良好
P000142,其他 滑板 95新,运动器材,滑板,其他,95新,9.0,167,140,6,U002665,2024-04-11,已售出,458,120,95新滑板，使用6个月，保养良好
P000143,漫步者 耳机 7成新,电子产品,耳机,漫步者,7成新,6.0,1937,750,10,U001020,2021-08-30,在售,75,16,7成新耳机，使用10个月，保养良好
P000144,其他 考研资料 9成新,图书教材,考研资料,其他,9成新,8.0,440,260,10,U000860,2024-05-16,已售出,200,53,9成新考研资料，使用10个月，保养良好
P000145,杂牌 椅子 99新,家具,椅子,杂牌,99新,9.5,139,130,10,U002739,2021-09-07,已售出,460,28,99新椅子，使用10个月，保养良好
P000146,无品牌 椅子 9成新,家具,椅子,无品牌,9成新,8.0,154,100,41,U001529,2022-02-26,已售出,24,0,9成新椅子，使用41个月，保养良好
P000147,杂牌 电吹风 全新,生活用品,电吹风,杂牌,全新,10.0,238,240,27,U000191,2023-09-10,已售出,400,43,全新电吹风，使用27个月，保养良好
P000148,无品牌 教材 95新,图书教材,教材,无品牌,95新,9.0,77,50,2,U000461,2023-05-03,已下架,222,68,95新教材，使用2个月，保养良好
P000149,其他 篮球 6成新,运动器材,篮球,其他,6成新,5.0,376,100,31,U001924,2022-02-09,在售,175,42,6成新篮球，使用31个月，保养良好
P000150,其他 背包 7成新,服饰鞋包,背包,其他,7成新,6.0,416,150,32,U002340,2021-10-07,在售,122,32,7成新背包，使用32个月，保养良好
P000151,无品牌 课外读物 99新,图书教材,课外读物,无品牌,99新,9.5,387,300,2,U002938,2022-12-07,已售出,464,26,99新课外读物，使用2个月，保养良好
P000152,杂牌 考研资料 99新,图书教材,考研资料,杂牌,99新,9.5,423,370,6,U002911,2023-04-05,已售出,399,33,99新考研资料，使用6个月，保养良好
P000153,杂牌 收纳箱 7成新,生活用品,收纳箱,杂牌,7成新,6.0,124,50,3,U001578,2024-03-18,在售,416,50,7成新收纳箱，使用3个月，保养良好
P000154,无品牌 教材 7成新,图书教材,教材,无品牌,7成新,6.0,28,10,4,U000664,2022-11-22,已售出,15,4,7成新教材，使用4个月，保养良好
P000155,杂牌 跑步机 99新,运动器材,跑步机,杂牌,99新,9.5,371,340,37,U001662,2023-03-15,已售出,242,79,99新跑步机，使用37个月，保养良好
P000156,杂牌 衣架 全新,生活用品,衣架,杂牌,全新,10.0,431,390,33,U001382,2022-07-23,在售,140,21,全新衣架，使用33个月，保养良好
P000157,其他 衣柜 9成新,家具,衣柜,其他,9成新,8.0,389,230,22,U002127,2022-02-21,在售,410,93,9成新衣柜，使用22个月，保养良好
P000158,无品牌 瑜伽垫 8成新,运动器材,瑜伽垫,无品牌,8成新,7.0,114,50,30,U000456,2021-05-05,已售出,74,11,8成新瑜伽垫，使用30个月，保养良好
P000159,杂牌 收纳箱 8成新,生活用品,收纳箱,杂牌,8成新,7.0,92,50,33,U000748,2022-11-24,已售出,82,26,8成新收纳箱，使用33个月，保养良好
P000160,无品牌 尤克里里 99新,乐器,尤克里里,无品牌,99新,9.5,425,380,34,U002462,2021-07-08,在售,419,136,99新尤克里里，使用34个月，保养良好
P000161,无品牌 衣架 7成新,生活用品,衣架,无品牌,7成新,6.0,321,120,11,U000411,2024-06-25,在售,335,81,7成新衣架，使用11个月，保养良好
P000162,无品牌 床垫 6成新,家具,床垫,无品牌,6成新,5.0,434,140,35,U002498,2023-01-17,已售出,152,3,6成新床垫，使用35个月，保养良好
P000163,杂牌 羽毛球拍 8成新,运动器材,羽毛球拍,杂牌,8成新,7.0,265,140,30,U001319,2021-06-06,已售出,10,0,8成新羽毛球拍，使用30个月，保养良好
P000164,其他 洗漱用品 7成新,生活用品,洗漱用品,其他,7成新,6.0,209,80,47,U002512,2023-12-31,在售,40,12,7成新洗漱用品，使用47个月，保养良好
P000165,无品牌 篮球 9成新,运动器材,篮球,无品牌,9成新,8.0,471,290,16,U001603,2021-07-24,已售出,210,24,9成新篮球，使用16个月，保养良好
P000166,杂牌 课外读物 全新,图书教材,课外读物,杂牌,全新,10.0,165,170,5,U000576,2022-12-02,在售,381,38,全新课外读物，使用5个月，保养良好
P000167,无品牌 专业书籍 7成新,图书教材,专业书籍,无品牌,7成新,6.0,191,80,1,U002609,2021-04-29,已售出,278,13,7成新专业书籍，使用1个月，保养良好
P000168,其他 小沙发 9成新,家具,小沙发,其他,9成新,8.0,168,110,20,U000512,2023-09-14,已下架,88,2,9成新小沙发，使用20个月，保养良好
P000169,杂牌 小沙发 95新,家具,小沙发,杂牌,95新,9.0,70,50,17,U000463,2024-03-07,已下架,228,74,95新小沙发，使用17个月，保养良好
P000170,其他 工具书 6成新,图书教材,工具书,其他,6成新,5.0,456,140,5,U000921,2023-08-07,在售,55,11,6成新工具书，使用5个月，保养良好
